method, missed_branch, covered_branch, total_branch
com.thoughtworks.xstream.converters.extended.PropertyEditorCapableConverter.<init>,0,0,0
com.thoughtworks.xstream.core.util.PrioritizedList.iterator,0,0,0
com.thoughtworks.xstream.io.xml.SaxWriter.close,0,0,0
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.writeItem,0,2,2
com.thoughtworks.xstream.core.util.WeakCache$4$1.getValue,0,0,0
com.thoughtworks.xstream.converters.reflection.ReflectionProviderWrapper.newInstance,0,0,0
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.create,2,0,2
com.thoughtworks.xstream.converters.extended.SqlTimestampConverter.fromString,2,10,12
com.thoughtworks.xstream.io.binary.Token$Attribute.writeTo,0,0,0
com.thoughtworks.xstream.core.util.ThreadSafePropertyEditor$1.<init>,0,0,0
com.thoughtworks.xstream.converters.enums.EnumMapConverter$Reflections.<clinit>,0,0,0
com.thoughtworks.xstream.core.ClassLoaderReference.getReference,0,0,0
com.thoughtworks.xstream.core.TreeMarshaller.get,0,0,0
com.thoughtworks.xstream.io.xml.AbstractPullReader.getNodeName,0,0,0
com.thoughtworks.xstream.core.util.CustomObjectInputStream.reset,0,0,0
com.thoughtworks.xstream.security.RegExpTypePermission.<init>,1,1,2
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readInt,0,0,0
com.thoughtworks.xstream.converters.reflection.FieldKey.getOrder,0,0,0
com.thoughtworks.xstream.converters.collections.CharArrayConverter.marshal,0,0,0
com.thoughtworks.xstream.io.binary.Token.getId,0,0,0
com.thoughtworks.xstream.io.binary.ReaderDepthState$1.remove,0,0,0
com.thoughtworks.xstream.core.MapBackedDataHolder.get,0,0,0
com.thoughtworks.xstream.converters.basic.URIConverter.canConvert,0,2,2
com.thoughtworks.xstream.core.util.SerializationMembers.getRRMethod,1,15,16
com.thoughtworks.xstream.io.json.JettisonStaxWriter.endNode,0,2,2
com.thoughtworks.xstream.core.util.ClassLoaderReference.loadClass,0,0,0
com.thoughtworks.xstream.io.xml.TraxSource.configureXMLReader,1,5,6
com.thoughtworks.xstream.mapper.DynamicProxyMapper.getAlias,0,0,0
com.thoughtworks.xstream.converters.javabean.PropertyDictionary.property,6,0,6
com.thoughtworks.xstream.converters.extended.FontConverter.unmarshal,6,12,18
com.thoughtworks.xstream.converters.extended.PathConverter.toString,4,0,4
com.thoughtworks.xstream.converters.extended.StackTraceElementFactory.unknownSourceElement,0,0,0
com.thoughtworks.xstream.core.util.XmlHeaderAwareReader.read,0,0,0
com.thoughtworks.xstream.io.path.Path.<init>,0,2,2
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeLong,0,0,0
com.thoughtworks.xstream.io.binary.BinaryStreamWriter.endNode,0,0,0
com.thoughtworks.xstream.XStream.allowTypes,0,0,0
com.thoughtworks.xstream.io.xml.Dom4JReader.getAttribute,0,0,0
com.thoughtworks.xstream.io.xml.AbstractXppDomDriver.<init>,0,0,0
