method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.io.xml.JDomReader.getChildCount,1,0,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.skip,1,0,1
com.thoughtworks.xstream.io.binary.Token.hashCode,5,0,5
com.thoughtworks.xstream.security.ExplicitTypePermission.allows,1,2,3
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter.toString,0,1,1
com.thoughtworks.xstream.core.util.PresortedSet.comparator,0,1,1
com.thoughtworks.xstream.converters.extended.FontConverter.marshal,17,0,17
com.thoughtworks.xstream.io.xml.JDom2Writer.top,1,0,1
com.thoughtworks.xstream.io.xml.JDomWriter.<init>,11,0,11
com.thoughtworks.xstream.io.xml.DomWriter.addAttribute,1,0,1
com.thoughtworks.xstream.mapper.LocalConversionMapper.<init>,0,2,2
com.thoughtworks.xstream.converters.reflection.CGLIBEnhancedConverter.marshal,58,0,58
com.thoughtworks.xstream.mapper.ArrayMapper.realClass,3,10,13
com.thoughtworks.xstream.converters.collections.TreeSetConverter.marshal,3,0,3
com.thoughtworks.xstream.io.xml.XppDomReader.getParent,1,0,1
com.thoughtworks.xstream.core.JVM.getBase64Codec,0,1,1
com.thoughtworks.xstream.XStream.setupImmutableTypes,29,46,75
com.thoughtworks.xstream.mapper.XStream11XmlFriendlyMapper.realMember,1,0,1
com.thoughtworks.xstream.core.JVM.loadClass,2,0,2
com.thoughtworks.xstream.core.JVM.Test,1,0,1
com.thoughtworks.xstream.core.TreeUnmarshaller.keys,2,0,2
com.thoughtworks.xstream.mapper.SystemAttributeAliasingMapper.<init>,0,1,1
com.thoughtworks.xstream.XStream.useXStream11XmlFriendlyMapper,0,1,1
com.thoughtworks.xstream.persistence.FilePersistenceStrategy.isValid,1,0,1
com.thoughtworks.xstream.core.TreeUnmarshaller.get,2,0,2
com.thoughtworks.xstream.io.binary.BinaryStreamWriter.<init>,0,1,1
com.thoughtworks.xstream.io.xml.StaxDriver.close,10,0,10
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.<init>,0,3,3
com.thoughtworks.xstream.converters.reflection.FieldKeySorter.null,0,0,0
com.thoughtworks.xstream.XStream.registerConverter,0,7,7
com.thoughtworks.xstream.converters.reflection.AbstractReflectionConverter.FieldLocation,0,2,2
com.thoughtworks.xstream.converters.basic.LongConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.extended.UseAttributeForEnumMapper.createEnumMapper,4,0,4
com.thoughtworks.xstream.io.xml.DomDriver.createWriter,4,0,4
com.thoughtworks.xstream.io.AbstractWriter.<init>,1,1,2
com.thoughtworks.xstream.persistence.XmlSet.size,1,0,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeUTF,1,0,1
com.thoughtworks.xstream.mapper.AbstractXmlFriendlyMapper.<init>,1,0,1
com.thoughtworks.xstream.mapper.XStream11XmlFriendlyMapper.realClass,1,0,1
com.thoughtworks.xstream.io.ReaderWrapper.underlyingReader,1,0,1
com.thoughtworks.xstream.converters.collections.SingletonMapConverter.canConvert,0,1,1
com.thoughtworks.xstream.core.util.SerializationMembers.callWriteObject,9,0,9
com.thoughtworks.xstream.converters.reflection.SerializableConverter.marshalUnserializableParent,3,0,3
com.thoughtworks.xstream.core.util.PrioritizedList.remove,1,0,1
com.thoughtworks.xstream.mapper.FieldAliasingMapper.serializedMember,1,3,4
com.thoughtworks.xstream.mapper.AttributeMapper.setConverterLookup,1,0,1
com.thoughtworks.xstream.converters.get,5,0,5
com.thoughtworks.xstream.converters.extended.DurationConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.time.InstantConverter.canConvert,1,0,1
com.thoughtworks.xstream.io.xml.XmlFriendlyNameCoder.readResolve,0,3,3
com.thoughtworks.xstream.converters.reflection.SerializableConverter.defaultWriteObject,31,0,31
com.thoughtworks.xstream.io.naming.NameCoderWrapper.encodeNode,1,0,1
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.put,1,0,1
com.thoughtworks.xstream.converters.reflection.FieldDictionary.getKeyedByFieldKey,0,1,1
com.thoughtworks.xstream.io.ReaderWrapper.appendErrors,1,0,1
com.thoughtworks.xstream.io.xml.XomReader.getNodeName,1,0,1
com.thoughtworks.xstream.converters.extended.ThrowableConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.enums.EnumToStringConverter.<init>,0,5,5
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker.flushCache,1,0,1
com.thoughtworks.xstream.core.DefaultConverterLookup.lookupConverterForType,10,12,22
com.thoughtworks.xstream.core.util.WeakCache.entrySet,3,0,3
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter.canConvert,0,1,1
com.thoughtworks.xstream.io.path.PathTrackingWriter.endNode,0,2,2
